eps11,eps22,eps33,eps12,eps13,eps23,sig11,sig22,sig33,sig12,sig13,sig23,loading_case
0.3922543,-0.12643126,-0.12643932,0.000000000000389,-0.000000000000618,0.00000000394,415.21628,42.004158,42.10086,-0.0000000028,0.00000000365,0.00000000434,1
0.41215315,-0.1305948,-0.13060133,0.00000000000315,0.0000000000023,-0.00000000284,433.73492,45.334774,45.43546,-0.0000000211,-0.0000000112,0.00000000117,1
0.4420029,-0.13684613,-0.13685331,-0.00000000000134,-0.00000000000989,0.000000000634,461.4422,50.040344,50.147224,0.00000000822,0.0000000433,0.000000123,1
0.454799,-0.13952997,-0.13953622,-0.00000000000245,0.000000000000974,-0.00000000466,473.27408,51.952045,52.061478,0.0000000151,-0.00000000404,-0.00000000348,1
0.4654983,-0.14232227,-0.1423306,-5.06E-016,-6.76E-016,-0.000000000413,474.60028,53.182743,53.293545,0.00000000000241,0.00000000000247,-0.00000000109,1
0.46560076,-0.14234088,-0.14234929,-9.42E-017,-5.28E-016,0.000000000992,474.7313,53.206547,53.315697,0.000000000000458,0.00000000000187,-0.00000000376,1
0.46578074,-0.1423707,-0.14237551,1.8E-017,5.39E-017,-0.00000000196,474.89307,53.23668,53.34963,-0.0000000000000752,-0.000000000000179,-0.0000000108,1
0.4660212,-0.14241228,-0.14242056,2.4E-016,1.86E-016,-0.00000000136,475.11948,53.287334,53.39964,-0.00000000000103,-0.00000000000062,-0.00000000374,1
0.46639618,-0.14247905,-0.14248753,-6.3E-016,-6.66E-016,-0.00000000063,475.48807,53.361755,53.47241,0.00000000000302,0.00000000000246,-0.00000000248,1
0.4669444,-0.14257371,-0.14258257,3.07E-017,2.23E-015,-0.00000000141,476.02103,53.471893,53.5852,-0.000000000000277,-0.00000000000815,0.00000000753,1
0.4677939,-0.14272648,-0.14272875,-0.0000000000000116,-5.1E-015,-0.000000000728,476.8051,53.640015,53.750774,0.0000000000531,0.0000000000174,-0.00000000729,1
0.46905488,-0.14294587,-0.1429481,-0.0000000000000307,-0.0000000000000105,0.00000000221,478.03766,53.887825,54.001213,0.000000000143,0.0000000000385,0.00000000956,1
0.47093484,-0.1432715,-0.1432834,0.0000000000000254,-6.85E-015,-0.00000000175,479.84598,54.262783,54.37394,-0.00000000012,0.0000000000205,-0.00000000015,1
0.4737678,-0.14377312,-0.1437769,-0.0000000000000251,-0.000000000000125,0.00000000226,482.55664,54.818577,54.93135,0.000000000112,0.00000000045,-0.00000000269,1
0.47800443,-0.14451161,-0.14452095,-0.000000000000228,0.0000000000000756,0.000000000227,486.62415,55.651207,55.765522,0.00000000104,-0.000000000281,-0.00000000181,1
0.48438463,-0.14562954,-0.14563091,-0.0000000000000301,-0.000000000000216,-0.0000000029,492.7286,56.884876,57.001644,0.000000000127,0.000000000731,0.0000000019,1
0.493905,-0.14730982,-0.14731097,0.000000000000622,0.00000000000125,0.00000000241,501.88574,58.71372,58.832405,-0.00000000272,-0.00000000434,-0.0000000013,1
0.5082262,-0.14982791,-0.14982867,-0.00000000000108,-0.0000000000015,-0.00000000474,515.6023,61.399998,61.521553,0.00000000467,0.00000000482,0.00000000703,1
0.5296959,-0.15360762,-0.1536055,-0.00000000000332,-0.000000000000604,0.00000000742,536.17993,65.30458,65.43277,0.0000000145,0.00000000235,-0.0000000188,1
0.5619263,-0.15928845,-0.15927596,-0.00000000000718,-0.0000000000014,-0.00000000407,566.9818,70.878174,71.01352,0.0000000286,0.00000000426,-0.00000000933,1
0.5757334,-0.16173786,-0.16171199,0.000000000000204,-0.0000000000045,-0.00000000202,580.18964,73.16971,73.30458,-0.000000000867,0.0000000139,0.0000000107,1
